row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,13,0.44384947419166565,0.40053876489400864,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,14,0.4942767098546028,0.3922790139913559,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,15,0.41799449920654297,0.35736098885536194,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,16,0.45029522478580475,0.34104931354522705,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,17,0.4827457368373871,0.2716711238026619,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,18,0.6154732033610344,0.35862261056900024,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,19,0.4452802613377571,0.2963058650493622,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,20,0.45094194263219833,0.26851484924554825,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,21,0.48951562494039536,0.3121873363852501,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,22,0.4690951257944107,0.3745619133114815,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,23,0.4641958400607109,0.3159673437476158,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,24,0.49919959157705307,0.362884484231472,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,25,0.42212986946105957,0.3280029147863388,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,26,0.48120734840631485,0.28541214019060135,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,27,0.5229488015174866,0.3513184264302254,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,28,0.4789670556783676,0.28056298941373825,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
